run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
70,xair_atomic,0,,0.0,control,1,0,0,0,0,,125,control,0,EXECUTE,atomic_actuation_committed,6.055595353245735,6.0619572177529335,0.006361864507198334,4.416931886225939,,,4.421630874276161,10.472527239471674,10.478889103978872
71,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,127,126,after_check,0,EXECUTE,atomic_actuation_committed,6.681588944047689,6.686707958579063,0.005119014531373978,4.590047057718039,5.732318852096796,15.581747982650995,4.6739536337554455,11.271636001765728,11.276755016297102
72,xair_atomic,0,,0.0,control,1,0,0,0,0,,128,control,0,EXECUTE,atomic_actuation_committed,6.319140084087849,6.323877722024918,0.004737637937068939,4.116048105061054,,,4.120076075196266,10.435188189148903,10.439925827085972
73,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,130,129,after_check,0,EXECUTE,atomic_actuation_committed,7.126102689653635,7.1312119252979755,0.005109235644340515,3.931682091206312,5.069425795227289,16.10356569290161,4.012393765151501,11.057784780859947,11.062894016504288
74,xair_atomic,0,,0.0,control,1,0,0,0,0,,131,control,0,EXECUTE,atomic_actuation_committed,6.932589691132307,6.937327794730663,0.004738103598356247,4.693720955401659,,,4.697437863796949,11.626310646533966,11.631048750132322
75,xair_atomic,0,,0.0,control,1,0,0,0,0,,132,control,0,EXECUTE,atomic_actuation_committed,6.899436935782433,6.903965957462788,0.004529021680355072,4.594836384057999,,,4.5982119627296925,11.494273319840431,11.498802341520786
76,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,134,133,after_check,0,EXECUTE,atomic_actuation_committed,6.898986175656319,6.905227899551392,0.006241723895072937,4.055615048855543,5.349330138415098,15.760903246700764,4.303839989006519,10.954601224511862,10.960842948406935
77,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,136,135,after_check,0,EXECUTE,atomic_actuation_committed,7.24653759971261,7.251005619764328,0.004468020051717758,4.245480988174677,5.383193958550692,15.640176832675934,4.3251896277070045,11.492018587887287,11.496486607939005
78,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,138,137,after_check,0,EXECUTE,atomic_actuation_committed,6.779201794415712,6.783510092645884,0.004308298230171204,4.1782548651099205,5.308764986693859,15.668841078877449,4.251481965184212,10.957456659525633,10.961764957755804
79,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,140,139,after_check,0,EXECUTE,atomic_actuation_committed,7.391389925032854,7.402080111205578,0.01069018617272377,4.753753077238798,6.029315292835236,17.099423334002495,4.940283019095659,12.145143002271652,12.155833188444376
80,xair_atomic,0,,0.0,control,1,0,0,0,0,,141,control,0,EXECUTE,atomic_actuation_committed,6.750197149813175,6.7597851157188416,0.009587965905666351,4.331771750003099,,,4.338093567639589,11.081968899816275,11.091556865721941
81,xair_atomic,0,,0.0,control,1,0,0,0,0,,142,control,0,EXECUTE,atomic_actuation_committed,5.980433896183968,5.985022988170385,0.00458909198641777,4.291676916182041,,,4.298018757253885,10.272110812366009,10.276699904352427
82,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,144,143,after_check,0,EXECUTE,atomic_actuation_committed,6.284523755311966,6.2896739691495895,0.005150213837623596,4.206868354231119,6.353994365781546,15.298396348953247,4.297498147934675,10.491392109543085,10.496542323380709
83,xair_atomic,0,,0.0,control,1,0,0,0,0,,145,control,0,EXECUTE,atomic_actuation_committed,6.673844996839762,6.686578970402479,0.012733973562717438,5.248000379651785,,,5.256727337837219,11.921845376491547,11.934579350054264
84,xair_atomic,0,,0.0,control,1,0,0,0,0,,146,control,0,EXECUTE,atomic_actuation_committed,6.472687236964703,6.478257942944765,0.005570705980062485,4.667250905185938,,,4.671659786254168,11.13993814215064,11.145508848130703
85,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,148,147,after_check,0,EXECUTE,atomic_actuation_committed,6.353032775223255,6.361087784171104,0.008055008947849274,4.3853032402694225,6.54947105795145,15.127967111766338,4.498885944485664,10.738336015492678,10.746391024440527
86,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,150,149,after_check,0,EXECUTE,atomic_actuation_committed,6.593313068151474,6.601949222385883,0.008636154234409332,4.612558986991644,6.8022338673472404,15.515493229031563,4.753402899950743,11.205872055143118,11.214508209377527
87,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,152,151,after_check,0,EXECUTE,atomic_actuation_committed,6.269236095249653,6.277732085436583,0.008495990186929703,4.387456923723221,6.563787814229727,15.044920612126589,4.513402935117483,10.656693018972874,10.665189009159803
88,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,154,153,after_check,0,EXECUTE,atomic_actuation_committed,6.696286145597696,6.706164218485355,0.009878072887659073,4.696426913142204,6.875873077660799,16.708060167729855,4.822804126888514,11.3927130587399,11.40259113162756
89,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,156,155,after_check,0,EXECUTE,atomic_actuation_committed,6.97126192972064,6.982361897826195,0.01109996810555458,4.841008223593235,7.186806295067072,16.60717139020562,5.062323063611984,11.812270153313875,11.82337012141943
90,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,158,157,after_check,0,EXECUTE,atomic_actuation_committed,7.108529098331928,7.120822090655565,0.012292992323637009,4.553779028356075,6.710041780024767,16.249018721282482,4.654287826269865,11.662308126688004,11.67460111901164
91,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,160,159,after_check,0,EXECUTE,atomic_actuation_committed,6.786835845559835,6.793447770178318,0.00661192461848259,4.051656927913427,6.192761939018965,15.284670051187277,4.141064826399088,10.838492773473263,10.845104698091745
92,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,162,161,after_check,0,EXECUTE,atomic_actuation_committed,7.022127043455839,7.031645160168409,0.00951811671257019,4.104427061975002,6.298360414803028,15.466923359781504,4.238799214363098,11.126554105430841,11.136072222143412
93,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,164,163,after_check,0,EXECUTE,atomic_actuation_committed,7.10666598752141,7.115542888641357,0.008876901119947433,4.447308834642172,6.604944821447134,16.209795139729977,4.549229983240366,11.553974822163582,11.56285172328353
94,xair_atomic,0,,0.0,control,1,0,0,0,0,,165,control,0,EXECUTE,atomic_actuation_committed,6.3199009746313095,6.329037714749575,0.009136740118265152,4.352872259914875,,,4.359174054116011,10.672773234546185,10.68190997466445
95,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,167,166,after_check,0,EXECUTE,atomic_actuation_committed,6.33165193721652,6.343744695186615,0.01209275797009468,4.775395151227713,6.9330912083387375,15.614498872309923,4.877807106822729,11.107047088444233,11.119139846414328
96,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,169,168,after_check,0,EXECUTE,atomic_actuation_committed,6.96524977684021,6.975208874791861,0.00995909795165062,6.166602950543165,8.411412127315998,17.865369096398354,6.369692739099264,13.131852727383375,13.141811825335026
97,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,171,170,after_check,0,EXECUTE,atomic_actuation_committed,7.055630907416344,7.069245912134647,0.01361500471830368,4.4869729317724705,6.692158058285713,19.42177815362811,4.6493178233504295,11.542603839188814,11.556218843907118
98,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,173,172,after_check,0,EXECUTE,atomic_actuation_committed,6.7901317961514,6.799330003559589,0.009198207408189774,4.595978185534477,6.839094217866659,16.31683623418212,4.7994800843298435,11.386109981685877,11.395308189094067
99,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,175,174,after_check,0,EXECUTE,atomic_actuation_committed,6.634150166064501,6.6422452218830585,0.00809505581855774,3.953102044761181,6.108544301241636,15.749712008982897,4.053130280226469,10.587252210825682,10.59534726664424
100,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,177,176,after_check,0,EXECUTE,atomic_actuation_committed,6.866054143756628,6.875372026115656,0.009317882359027863,4.330059047788382,6.510848179459572,16.141456086188555,4.45846002548933,11.19611319154501,11.205431073904037
101,xair_atomic,1,2.0,0.0,concurrent,1,0,0,0,1,179,178,after_check,0,EXECUTE,atomic_actuation_committed,9.564364794641733,9.572960902005434,0.008596107363700867,4.718437325209379,6.9123911671340466,18.507373053580523,4.866845905780792,14.282802119851112,14.291398227214813
