scenario,run,baseline,seed,outcome,reason,paused_committed_before_submit,gateway_released,stale_executed,correct_revoke,ros_published,ros_observed,validation_latency_ms,e2e_latency_ms,intent_age_at_submit_ms,pause_ms,freshness_ms,exported_at
e1b,7,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.046966830268502235,1.6046161763370037,216.172,200,1000,2026-09-23T07:06:55.555892+00:00
e1b,8,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02477620728313923,6.397835910320282,217.079,200,1000,2026-09-23T07:06:55.831042+00:00
e1b,9,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.018244143575429916,1.063382951542735,223.373,200,1000,2026-09-23T07:06:56.117293+00:00
e1b,10,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.0318591482937336,2.040793187916279,216.485,200,1000,2026-09-23T07:06:56.389638+00:00
e1b,11,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.028724083676934242,1.8468000926077366,216.958,200,1000,2026-09-23T07:06:56.667878+00:00
e1b,12,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.032321084290742874,2.1504389587789774,237.975,200,1000,2026-09-23T07:06:56.967279+00:00
e1b,13,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.027150847017765045,1.7958739772439003,219.271,200,1000,2026-09-23T07:06:57.243077+00:00
e1b,14,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.16800500452518463,4.233350977301598,227.549,200,1000,2026-09-23T07:06:57.557420+00:00
e1b,15,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02823304384946823,4.816083004698157,220.165,200,1000,2026-09-23T07:06:57.835456+00:00
e1b,16,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.023114029318094254,1.4969038311392069,220.288,200,1000,2026-09-23T07:06:58.125242+00:00
e1b,17,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02728099934756756,2.610619878396392,227.645,200,1000,2026-09-23T07:06:58.418416+00:00
e1b,18,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.029695918783545494,1.951717073097825,236.842,200,1000,2026-09-23T07:06:58.715682+00:00
e1b,19,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.0200481154024601,1.1570181231945753,220.368,200,1000,2026-09-23T07:06:59.004246+00:00
e1b,20,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.028142007067799568,1.772240037098527,211.962,200,1000,2026-09-23T07:06:59.274579+00:00
e1b,21,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.022802967578172684,8.519590832293034,217.482,200,1000,2026-09-23T07:06:59.563362+00:00
e1b,22,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03375299274921417,3.1427480280399323,224.598,200,1000,2026-09-23T07:06:59.852226+00:00
e1b,23,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.025357119739055634,4.046210087835789,217.756,200,1000,2026-09-23T07:07:00.137004+00:00
e1b,24,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.035325996577739716,2.2083669900894165,221.577,200,1000,2026-09-23T07:07:00.420519+00:00
e1b,25,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03267102874815464,7.38517614081502,220.901,200,1000,2026-09-23T07:07:00.704703+00:00
e1b,26,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02636900171637535,2.1214939188212156,216.283,200,1000,2026-09-23T07:07:00.985154+00:00
e1b,27,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.031679170206189156,1.8916740082204342,211.706,200,1000,2026-09-23T07:07:01.262521+00:00
e1b,28,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.023504020646214485,1.408217940479517,209.225,200,1000,2026-09-23T07:07:01.529211+00:00
e1b,29,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03157998435199261,4.296319093555212,218.172,200,1000,2026-09-23T07:07:01.803263+00:00
e1b,30,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.031638890504837036,4.37389500439167,211.852,200,1000,2026-09-23T07:07:02.074748+00:00
e1b,31,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.025788089260458946,4.8066850285977125,221.555,200,1000,2026-09-23T07:07:02.356603+00:00
e1b,32,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03707013092935085,2.362776082009077,215.194,200,1000,2026-09-23T07:07:02.629753+00:00
e1b,33,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.030677998438477516,2.7820521499961615,221.365,200,1000,2026-09-23T07:07:02.913108+00:00
e1b,34,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.018514925613999367,1.0096810292452574,228.018,200,1000,2026-09-23T07:07:03.208421+00:00
e1b,35,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.020839041098952293,1.5105800703167915,215.692,200,1000,2026-09-23T07:07:03.484233+00:00
e1b,36,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03217998892068863,3.0937758274376392,210.51,200,1000,2026-09-23T07:07:03.759405+00:00
e1b,37,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02429494634270668,1.4632109086960554,218.267,200,1000,2026-09-23T07:07:04.033497+00:00
e1b,38,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.033193035051226616,1.9365479238331318,215.977,200,1000,2026-09-23T07:07:04.324271+00:00
e1b,39,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.036207959055900574,6.388768786564469,230.308,200,1000,2026-09-23T07:07:04.610979+00:00
e1b,40,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03261095844209194,4.599246894940734,220.053,200,1000,2026-09-23T07:07:04.897691+00:00
e1b,41,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03157882019877434,1.5638100448995829,213.01,200,1000,2026-09-23T07:07:05.166681+00:00
e1b,42,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02411496825516224,1.2031339574605227,211.597,200,1000,2026-09-23T07:07:05.452544+00:00
e1b,43,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02751220017671585,4.145595943555236,214.082,200,1000,2026-09-23T07:07:05.744479+00:00
e1b,44,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.024826964363455772,1.3997629284858704,209.234,200,1000,2026-09-23T07:07:06.019187+00:00
e1b,45,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02699112519621849,1.5548830851912498,215.639,200,1000,2026-09-23T07:07:06.290948+00:00
e1b,46,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03191898576915264,1.7203730531036854,214.907,200,1000,2026-09-23T07:07:06.574106+00:00
e1b,47,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.026640016585588455,4.650371847674251,214.954,200,1000,2026-09-23T07:07:06.845616+00:00
e1b,48,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.026759924367070198,3.8298850413411856,213.22,200,1000,2026-09-23T07:07:07.121261+00:00
e1b,49,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.016069971024990082,3.640509909018874,228.047,200,1000,2026-09-23T07:07:07.409513+00:00
e1b,50,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.031869858503341675,8.12595384195447,226.832,200,1000,2026-09-23T07:07:07.696280+00:00
e1b,51,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02988590858876705,1.8933170940726995,209.751,200,1000,2026-09-23T07:07:07.981207+00:00
e1b,52,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02716085873544216,2.0415950566530228,225.821,200,1000,2026-09-23T07:07:08.263937+00:00
e1b,53,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.027661211788654327,2.051793970167637,213.034,200,1000,2026-09-23T07:07:08.538223+00:00
e1b,54,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.0271000899374485,5.0548098515719175,229.268,200,1000,2026-09-23T07:07:08.826268+00:00
e1b,55,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.031828880310058594,3.3019259572029114,222.13,200,1000,2026-09-23T07:07:09.107240+00:00
e1b,56,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.03125891089439392,2.2138170897960663,213.538,200,1000,2026-09-23T07:07:09.387846+00:00
e1b,57,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02883397974073887,5.089596146717668,218.837,200,1000,2026-09-23T07:07:09.663054+00:00
e1b,58,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.02798205241560936,1.642265822738409,210.046,200,1000,2026-09-23T07:07:09.931178+00:00
e1b,59,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.014698132872581482,0.6957228761166334,206.559,200,1000,2026-09-23T07:07:10.195590+00:00
e1b,60,naive,42,EXECUTE,naive_temporal_only,1,1,1,0,0,,0.024875858798623085,1.5555249992758036,208.815,200,1000,2026-09-23T07:07:10.459075+00:00
