run,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
52,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,53.1209500040859,53.131379187107086,0.010429183021187782,2.9127669986337423,,,53.03013022057712,56.03371700271964,56.04414618574083
53,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,57.078593876212835,,,2.785207936540246,3.9880219846963882,6.545612821355462,53.0317728407681,59.86380181275308,
54,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.24206394329667,,,7.288153981789947,9.206518065184355,19.414672860875726,59.2600810341537,62.53021792508662,
55,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.806931806728244,,,3.5543390549719334,4.847802920266986,8.614969905465841,53.916229866445065,59.36127086170018,
56,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.106238927692175,,,4.332727054134011,5.711069097742438,11.415997054427862,54.704166017472744,59.438965981826186,
57,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,57.14850593358278,,,2.052515046671033,3.3410589676350355,7.2392120491713285,53.197362925857306,59.201020980253816,
58,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,59.631897835060954,59.6414259634912,0.009528128430247307,4.066237946972251,,,57.26311984471977,63.698135782033205,63.70766391046345
59,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,56.89084203913808,56.904538068920374,0.013696029782295227,5.15109091065824,,,57.50897107645869,62.04193294979632,62.055628979578614
60,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.67778290808201,,,3.682549111545086,5.776492180302739,15.702798031270504,54.81173703446984,60.360332019627094,
61,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,53.992453031241894,54.00511692278087,0.012663891538977623,3.06304800324142,,,53.188636898994446,57.055501034483314,57.06816492602229
62,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,60.365763027220964,60.37815590389073,0.012392876669764519,2.6733081322163343,,,53.01981000229716,63.0390711594373,63.05146403610706
63,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,62.81769601628184,,,7.045659935101867,8.339133113622665,17.10385293699801,58.409787947312,69.86335595138371,
64,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,61.140264151617885,,,13.766740914434195,18.441820051521063,31.16133902221918,68.5334641020745,74.90700506605208,
65,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,64.10921597853303,,,4.583477042615414,5.912838038057089,16.059065936133265,54.99525205232203,68.69269302114844,
66,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,57.359710801392794,,,4.5156090054661036,7.4660268146544695,13.571715913712978,59.31352078914642,61.8753198068589,
67,1,1,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.843699956312776,,,3.0284039676189423,5.3374189883470535,10.051822056993842,54.42531383596361,58.87210392393172,
