policy,delay_ms,push_notified,run,outcome,reason,gateway_released,stale_executed
local_authoritative,500,,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,500,,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,500,,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,500,,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,500,,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,500,,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,500,,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,500,,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,500,,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
