run,inject,inject_offset_ms,publish_delay_ms,timing_valid,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_end_ms,toctou_blocked,authorized_publish,stale_publish,outcome,reason
139,0,0,50.0,,53.05289302486926,53.3166570821777,0.26376405730843544,2.3254879051819444,,,55.37838093005121,0,1,0,EXECUTE,published_after_gate_recheck
140,1,60.0,50.0,0,53.996031056158245,54.291835986077785,0.2958049299195409,2.136272960342467,62.39790597464889,65.3100929921493,56.13230401650071,0,1,1,EXECUTE,published_after_gate_recheck
141,0,0,50.0,,53.1714049866423,53.43075201380998,0.2593470271676779,2.368447952903807,,,55.53985293954611,0,1,0,EXECUTE,published_after_gate_recheck
142,0,0,50.0,,53.028027061372995,53.38095698971301,0.3529299283400178,2.680433914065361,,,55.708460975438356,0,1,0,EXECUTE,published_after_gate_recheck
143,1,60.0,50.0,0,54.100375971756876,54.39932597801089,0.29895000625401735,2.8893339913338423,63.23462398722768,67.74036691058427,56.98970996309072,0,1,1,EXECUTE,published_after_gate_recheck
144,1,60.0,50.0,0,53.82648401428014,54.12422097288072,0.2977369586005807,3.1223399564623833,63.40268789790571,66.21548999100924,56.948823970742524,0,1,1,EXECUTE,published_after_gate_recheck
145,1,60.0,50.0,0,53.587486036121845,53.8207720965147,0.2332860603928566,2.2270119516178966,62.54005106166005,67.39140301942825,55.81449798773974,0,1,1,EXECUTE,published_after_gate_recheck
146,1,60.0,50.0,0,54.58728806115687,54.91746705956757,0.33017899841070175,2.032398944720626,62.22865905147046,68.02160502411425,56.619687005877495,0,1,1,EXECUTE,published_after_gate_recheck
147,1,60.0,50.0,0,53.45088802278042,53.77276206854731,0.32187404576689005,3.9076339453458786,64.24267299007624,70.0147309107706,57.3585219681263,0,1,1,EXECUTE,published_after_gate_recheck
148,1,60.0,50.0,0,55.19628990441561,55.48046296462417,0.28417306020855904,3.9950869977474213,64.50359290465713,67.66241299919784,59.19137690216303,0,1,1,EXECUTE,published_after_gate_recheck
149,1,60.0,50.0,0,53.49638406187296,53.77239198423922,0.2760079223662615,2.201725961640477,62.50896491110325,66.06694194488227,55.698110023513436,0,1,1,EXECUTE,published_after_gate_recheck
150,1,60.0,50.0,0,53.26868803240359,53.56157594360411,0.2928879112005234,2.751286025159061,63.12566006090492,66.10913097392768,56.01997405756265,0,1,1,EXECUTE,published_after_gate_recheck
151,0,0,50.0,,53.803088958375156,54.03742799535394,0.23433903697878122,2.3096579825505614,,,56.11274694092572,0,1,0,EXECUTE,published_after_gate_recheck
152,1,60.0,50.0,0,53.321636049076915,53.63641702570021,0.31478097662329674,2.5581339141353965,62.83772096503526,67.45494296774268,55.87976996321231,0,1,1,EXECUTE,published_after_gate_recheck
153,1,60.0,50.0,0,53.53812302928418,53.78010601270944,0.2419829834252596,2.8735450468957424,63.11070208903402,66.39621907379478,56.41166807617992,0,1,1,EXECUTE,published_after_gate_recheck
154,1,60.0,50.0,0,53.44071006402373,53.66491002496332,0.22419996093958616,2.6712859980762005,62.97120999079198,65.96245605032891,56.111996062099934,0,1,1,EXECUTE,published_after_gate_recheck
155,1,60.0,50.0,0,53.46522596664727,53.75911702867597,0.2938910620287061,2.5103449588641524,62.856285949237645,65.74689294211566,55.97557092551142,0,1,1,EXECUTE,published_after_gate_recheck
