run,inject,inject_offset_ms,publish_delay_ms,timing_valid,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_end_ms,toctou_blocked,authorized_publish,stale_publish,outcome,reason
62,0,0,50.0,,53.931874921545386,54.21603692229837,0.2841620007529855,3.2610860653221607,,,57.19296098686755,0,1,0,EXECUTE,published_after_gate_recheck
63,1,1,50.0,1,53.67226805537939,,,3.125391900539398,4.4697129633277655,7.334196008741856,56.79765995591879,1,0,0,REVOKE,context_version_changed_at_publish
64,1,1,50.0,1,53.43970109242946,,,2.930175978690386,4.205639008432627,7.225663051940501,56.369877071119845,1,0,0,REVOKE,context_version_changed_at_publish
65,1,1,50.0,1,53.25833102688193,,,2.498416928574443,3.783026011660695,6.324853980913758,55.756747955456376,1,0,0,REVOKE,context_version_changed_at_publish
66,1,1,50.0,1,54.28671895060688,,,2.8884579660370946,4.148981999605894,7.654266897588968,57.17517691664398,1,0,0,REVOKE,context_version_changed_at_publish
67,1,1,50.0,1,53.24725899845362,,,3.3347150310873985,4.633971024304628,7.561000995337963,56.581974029541016,1,0,0,REVOKE,context_version_changed_at_publish
68,1,1,50.0,1,53.49031707737595,,,3.455510945059359,4.75030904635787,7.641352014616132,56.94582802243531,1,0,0,REVOKE,context_version_changed_at_publish
69,1,1,50.0,1,53.419372998178005,,,3.1129790004342794,4.325662041082978,6.506473990157247,56.532351998612285,1,0,0,REVOKE,context_version_changed_at_publish
70,1,1,50.0,1,54.765669046901166,,,3.7771339993923903,5.111968028359115,8.675842080265284,58.54280304629356,1,0,0,REVOKE,context_version_changed_at_publish
71,1,1,50.0,1,53.16632799804211,,,3.0661909841001034,4.338756902143359,6.8922569043934345,56.23251898214221,1,0,0,REVOKE,context_version_changed_at_publish
72,1,1,50.0,1,53.965117083862424,,,2.4470799835398793,3.6800530506297946,6.414170027710497,56.4121970674023,1,0,0,REVOKE,context_version_changed_at_publish
73,1,1,50.0,1,53.690221975557506,,,2.5470670079812407,3.93633299972862,7.26789201144129,56.23728898353875,1,0,0,REVOKE,context_version_changed_at_publish
74,0,0,50.0,,53.58894099481404,53.92126401420683,0.3323230193927884,2.105658990330994,,,55.69459998514503,0,1,0,EXECUTE,published_after_gate_recheck
75,1,1,50.0,1,53.189101978205144,,,2.6943120174109936,4.04342298861593,7.1061080088838935,55.88341399561614,1,0,0,REVOKE,context_version_changed_at_publish
76,1,1,50.0,1,53.57907200232148,,,2.1034450037404895,3.4386490005999804,6.303933099843562,55.68251700606197,1,0,0,REVOKE,context_version_changed_at_publish
77,1,1,50.0,1,54.053412983193994,,,2.3983679711818695,3.6717470502480865,6.1609250260517,56.45178095437586,1,0,0,REVOKE,context_version_changed_at_publish
78,0,0,50.0,,53.73063695151359,53.993840934708714,0.26320398319512606,2.479140064679086,,,56.209777016192675,0,1,0,EXECUTE,published_after_gate_recheck
79,1,1,50.0,1,53.876800928264856,,,3.413873026147485,4.631415940821171,7.378979935310781,57.29067395441234,1,0,0,REVOKE,context_version_changed_at_publish
80,0,0,50.0,,53.435803041793406,53.7285030586645,0.2927000168710947,2.8013340197503567,,,56.23713706154376,0,1,0,EXECUTE,published_after_gate_recheck
81,1,3,50.0,1,53.60363807994872,,,2.661652979440987,5.935283028520644,9.069591062143445,56.26529105938971,1,0,0,REVOKE,context_version_changed_at_publish
82,1,3,50.0,1,53.428650950081646,,,3.016898059286177,6.298623979091644,9.159520035609603,56.445549009367824,1,0,0,REVOKE,context_version_changed_at_publish
83,1,3,50.0,1,53.94179292488843,,,2.4381920229643583,5.772465956397355,9.157574968412519,56.37998494785279,1,0,0,REVOKE,context_version_changed_at_publish
84,1,3,50.0,1,53.51967201568186,,,2.2697770036756992,5.66241005435586,9.056266047991812,55.78944901935756,1,0,0,REVOKE,context_version_changed_at_publish
85,0,0,50.0,,53.740917006507516,54.028885904699564,0.2879688981920481,2.380073070526123,,,56.12099007703364,0,1,0,EXECUTE,published_after_gate_recheck
86,1,3,50.0,1,52.95759695582092,,,3.595263115130365,6.87373208347708,10.739182005636394,56.55286007095128,1,0,0,REVOKE,context_version_changed_at_publish
87,1,3,50.0,1,53.46331594046205,,,2.146715996786952,5.451323930174112,8.790616993792355,55.610031937249005,1,0,0,REVOKE,context_version_changed_at_publish
88,1,3,50.0,1,53.484124946407974,,,2.081683953292668,5.406790995039046,8.96383193321526,55.56580889970064,1,0,0,REVOKE,context_version_changed_at_publish
89,0,0,50.0,,53.63511701580137,53.93494002055377,0.29982300475239754,2.6613619411364198,,,56.29647895693779,0,1,0,EXECUTE,published_after_gate_recheck
90,0,0,50.0,,53.04304603487253,53.286463022232056,0.24341698735952377,2.183587057515979,,,55.22663309238851,0,1,0,EXECUTE,published_after_gate_recheck
91,1,3,50.0,1,53.447276004590094,,,2.263554953970015,5.5539170280098915,8.172007976099849,55.71083095856011,1,0,0,REVOKE,context_version_changed_at_publish
92,0,0,50.0,,52.98689194023609,53.20175504311919,0.2148631028831005,3.604670986533165,,,56.59156292676926,0,1,0,EXECUTE,published_after_gate_recheck
93,1,3,50.0,1,53.33004507701844,,,3.518658922985196,6.780436960980296,9.671858977526426,56.848704000003636,1,0,0,REVOKE,context_version_changed_at_publish
94,1,3,50.0,1,53.20806696545333,,,2.4600140750408173,5.783177097328007,9.685144992545247,55.668081040494144,1,0,0,REVOKE,context_version_changed_at_publish
95,1,3,50.0,1,52.731201983988285,,,1.974122948013246,5.272037931717932,7.622267003171146,54.70532493200153,1,0,0,REVOKE,context_version_changed_at_publish
96,0,0,50.0,,52.87334893364459,53.164726006798446,0.2913770731538534,2.4743210524320602,,,55.34766998607665,0,1,0,EXECUTE,published_after_gate_recheck
97,1,3,50.0,1,53.62095101736486,,,2.225212985649705,5.433690967038274,7.594182970933616,55.846164003014565,1,0,0,REVOKE,context_version_changed_at_publish
98,0,0,50.0,,53.71952604036778,53.94009000156075,0.2205639611929655,1.9891109550371766,,,55.70863699540496,0,1,0,EXECUTE,published_after_gate_recheck
99,1,3,50.0,1,53.48970403429121,,,2.318258979357779,5.619741044938564,8.259432041086257,55.80796301364899,1,0,0,REVOKE,context_version_changed_at_publish
100,0,0,50.0,,53.49877197295427,53.76193602569401,0.2631640527397394,2.271178993396461,,,55.769950966350734,0,1,0,EXECUTE,published_after_gate_recheck
101,1,3,50.0,1,53.87996707577258,,,3.0047260224819183,6.258409004658461,9.720432106405497,56.8846930982545,1,0,0,REVOKE,context_version_changed_at_publish
