scenario,run,baseline,seed,outcome,ros_published,ros_observed,stale_executed,stale_observed,witness_agreement,obsolete_intent,correct_revoke,validation_latency_ms,e2e_latency_ms,pause_ms,freshness_ms
e1b,79,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9062240608036518,400,500
e1b,80,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8216250464320183,400,500
e1b,81,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.540588098578155,400,500
e1b,82,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.130985027179122,400,500
e1b,83,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8033820670098066,400,500
e1b,84,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.610970008186996,400,500
e1b,85,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9260219996795058,400,500
e1b,86,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.1727830171585083,400,500
e1b,87,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.3472009925171733,400,500
e1b,88,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.1452329820021987,400,500
e1b,89,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6730770003050566,400,500
e1b,90,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0743479253724217,400,500
e1b,91,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0074830390512943,400,500
e1b,92,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.275857958011329,400,500
e1b,93,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8733720062300563,400,500
e1b,94,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.922945026308298,400,500
e1b,95,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9506970420479774,400,500
e1b,96,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.913266023620963,400,500
e1b,97,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0967210875824094,400,500
e1b,98,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5632309950888157,400,500
e1b,99,naive,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.008236013352871,400,500
e1b,0,local,42,REVOKE,False,False,False,False,True,True,True,3.026293939910829,4.343884065747261,400,500
e1b,1,local,42,REVOKE,False,False,False,False,True,True,True,2.296243910677731,3.7745670415461063,400,500
e1b,2,local,42,REVOKE,False,False,False,False,True,True,True,3.183669992722571,5.077879992313683,400,500
e1b,3,local,42,REVOKE,False,False,False,False,True,True,True,3.252587979659438,4.850493976846337,400,500
e1b,4,local,42,REVOKE,False,False,False,False,True,True,True,3.9079359266906977,5.595340044237673,400,500
e1b,5,local,42,REVOKE,False,False,False,False,True,True,True,3.56084608938545,5.535998963750899,400,500
e1b,6,local,42,REVOKE,False,False,False,False,True,True,True,2.793689025565982,4.379600984975696,400,500
e1b,7,local,42,REVOKE,False,False,False,False,True,True,True,2.807002980262041,4.014707985334098,400,500
e1b,8,local,42,REVOKE,False,False,False,False,True,True,True,2.2605080157518387,3.596683032810688,400,500
e1b,9,local,42,REVOKE,False,False,False,False,True,True,True,2.6987689780071378,4.212948027998209,400,500
e1b,10,local,42,REVOKE,False,False,False,False,True,True,True,2.212057006545365,3.2838869374245405,400,500
e1b,11,local,42,REVOKE,False,False,False,False,True,True,True,2.6315440190955997,3.992976970039308,400,500
e1b,12,local,42,REVOKE,False,False,False,False,True,True,True,3.0406909063458443,4.64377598837018,400,500
e1b,13,local,42,REVOKE,False,False,False,False,True,True,True,3.16554494202137,5.203366046771407,400,500
e1b,14,local,42,REVOKE,False,False,False,False,True,True,True,3.4967450192198157,4.911487922072411,400,500
e1b,15,local,42,REVOKE,False,False,False,False,True,True,True,3.1341760186478496,4.523088922724128,400,500
e1b,16,local,42,REVOKE,False,False,False,False,True,True,True,3.2723559997975826,5.246444954536855,400,500
e1b,17,local,42,REVOKE,False,False,False,False,True,True,True,2.702997997403145,4.233906976878643,400,500
e1b,18,local,42,REVOKE,False,False,False,False,True,True,True,2.6935189962387085,4.127098014578223,400,500
e1b,19,local,42,REVOKE,False,False,False,False,True,True,True,2.5160160148516297,4.0111299604177475,400,500
e1b,20,local,42,REVOKE,False,False,False,False,True,True,True,3.132121986709535,4.821158014237881,400,500
e1b,21,local,42,REVOKE,False,False,False,False,True,True,True,2.808355027809739,4.286405979655683,400,500
e1b,22,local,42,REVOKE,False,False,False,False,True,True,True,2.301665022969246,3.6417579976841807,400,500
e1b,23,local,42,REVOKE,False,False,False,False,True,True,True,3.338307957164943,4.8118099803105,400,500
e1b,24,local,42,REVOKE,False,False,False,False,True,True,True,2.7548439102247357,4.406111082062125,400,500
e1b,25,local,42,REVOKE,False,False,False,False,True,True,True,3.121773013845086,4.830716992728412,400,500
e1b,26,local,42,REVOKE,False,False,False,False,True,True,True,2.724037040024996,4.188071936368942,400,500
e1b,27,local,42,REVOKE,False,False,False,False,True,True,True,2.43966409470886,3.824290935881436,400,500
e1b,28,local,42,REVOKE,False,False,False,False,True,True,True,3.3937530824914575,5.0390270771458745,400,500
e1b,29,local,42,REVOKE,False,False,False,False,True,True,True,3.760039107874036,5.416194093413651,400,500
e1b,30,local,42,REVOKE,False,False,False,False,True,True,True,2.5154059985652566,3.836402087472379,400,500
e1b,31,local,42,REVOKE,False,False,False,False,True,True,True,3.470886964350939,4.835875937715173,400,500
e1b,32,local,42,REVOKE,False,False,False,False,True,True,True,2.6475030463188887,4.023493034765124,400,500
e1b,33,local,42,REVOKE,False,False,False,False,True,True,True,2.945522079244256,4.645570064894855,400,500
e1b,34,local,42,REVOKE,False,False,False,False,True,True,True,2.676847972907126,3.9344560354948044,400,500
e1b,35,local,42,REVOKE,False,False,False,False,True,True,True,2.2912250133231282,3.759048064239323,400,500
e1b,36,local,42,REVOKE,False,False,False,False,True,True,True,3.1975440215319395,4.90780093241483,400,500
e1b,37,local,42,REVOKE,False,False,False,False,True,True,True,2.126336097717285,3.649481921456754,400,500
e1b,38,local,42,REVOKE,False,False,False,False,True,True,True,2.1019710693508387,3.612732980400324,400,500
e1b,39,local,42,REVOKE,False,False,False,False,True,True,True,2.3401579819619656,3.90451995190233,400,500
e1b,40,local,42,REVOKE,False,False,False,False,True,True,True,3.0902440194040537,4.5018099481239915,400,500
e1b,41,local,42,REVOKE,False,False,False,False,True,True,True,2.6670589577406645,4.193271975964308,400,500
e1b,42,local,42,REVOKE,False,False,False,False,True,True,True,2.3531209444627166,4.09523700363934,400,500
e1b,43,local,42,REVOKE,False,False,False,False,True,True,True,2.732702996581793,4.577492014504969,400,500
e1b,44,local,42,REVOKE,False,False,False,False,True,True,True,2.881251974031329,4.590225988067687,400,500
e1b,45,local,42,REVOKE,False,False,False,False,True,True,True,2.735598012804985,4.329146002419293,400,500
e1b,46,local,42,REVOKE,False,False,False,False,True,True,True,2.679203054867685,4.021549015305936,400,500
e1b,47,local,42,REVOKE,False,False,False,False,True,True,True,2.9806080274283886,4.660436999984086,400,500
e1b,48,local,42,REVOKE,False,False,False,False,True,True,True,2.4546929635107517,3.7458440056070685,400,500
e1b,49,local,42,REVOKE,False,False,False,False,True,True,True,2.6400790084153414,3.9129949873313308,400,500
e1b,50,local,42,REVOKE,False,False,False,False,True,True,True,2.8949379920959473,4.1684460593387485,400,500
e1b,51,local,42,REVOKE,False,False,False,False,True,True,True,2.869900083169341,4.402633989229798,400,500
e1b,52,local,42,REVOKE,False,False,False,False,True,True,True,2.883235109038651,4.819825990125537,400,500
e1b,53,local,42,REVOKE,False,False,False,False,True,True,True,2.7869439218193293,4.428372019901872,400,500
e1b,54,local,42,REVOKE,False,False,False,False,True,True,True,2.426819992251694,3.837364027276635,400,500
e1b,55,local,42,REVOKE,False,False,False,False,True,True,True,3.4050539834424853,5.055778077803552,400,500
e1b,56,local,42,REVOKE,False,False,False,False,True,True,True,2.608640003018081,4.104124032892287,400,500
e1b,57,local,42,REVOKE,False,False,False,False,True,True,True,2.4736080085858703,3.830182016827166,400,500
e1b,58,local,42,REVOKE,False,False,False,False,True,True,True,3.0738021014258265,4.370833979919553,400,500
e1b,59,local,42,REVOKE,False,False,False,False,True,True,True,2.245509997010231,3.84464708622545,400,500
e1b,60,local,42,REVOKE,False,False,False,False,True,True,True,3.1824869802221656,4.7470490681007504,400,500
e1b,61,local,42,REVOKE,False,False,False,False,True,True,True,2.805258962325752,4.544690018519759,400,500
e1b,62,local,42,REVOKE,False,False,False,False,True,True,True,2.2707460448145866,3.782951971516013,400,500
e1b,63,local,42,REVOKE,False,False,False,False,True,True,True,2.144329948350787,3.813109011389315,400,500
e1b,64,local,42,REVOKE,False,False,False,False,True,True,True,2.9343919595703483,4.742541001178324,400,500
e1b,65,local,42,REVOKE,False,False,False,False,True,True,True,3.0060450080782175,4.483154974877834,400,500
e1b,66,local,42,REVOKE,False,False,False,False,True,True,True,2.2778509883210063,3.8067669374868274,400,500
e1b,67,local,42,REVOKE,False,False,False,False,True,True,True,3.568671061657369,5.348637001588941,400,500
e1b,68,local,42,REVOKE,False,False,False,False,True,True,True,2.3140381090343,3.604276920668781,400,500
e1b,69,local,42,REVOKE,False,False,False,False,True,True,True,2.36213905736804,3.750320989638567,400,500
e1b,70,local,42,REVOKE,False,False,False,False,True,True,True,2.2062750067561865,3.479082020930946,400,500
e1b,71,local,42,REVOKE,False,False,False,False,True,True,True,2.104214043356478,3.356012050062418,400,500
e1b,72,local,42,REVOKE,False,False,False,False,True,True,True,2.3651340743526816,4.081450984813273,400,500
e1b,73,local,42,REVOKE,False,False,False,False,True,True,True,2.809206023812294,4.229519050568342,400,500
